开学	kāi xué	(vo) to begin a new semester
新生	xīnshēng	(n) new student
辆	liàng	(measure word for vehicles)
研究生	yánjiūshēng	(n) graduate student
出生	chūshēng	(v) to be born
弓	gōng	(n) bow (for archery)
长	cháng	(adj) long
校外	xiào wài	off campus
校内	xiào nèi	on campus
安全	ānquán	(adj) safe
比较	bǐjiào	(adv/v) relatively, comparatively, rather; to compare
省钱	shěng qián	(vo) to save money, to economize
自由	zìyóu	(adj) free, unconstrained
不见得	bújiànde	not necessarily
好处	hǎochu	(n) advantage, benefit
适应	shìyìng	(v) to adapt, to become accustomed to
生活	shēnghuó	(n/v) (day-to-day) life; to live
搬家	bān jiā	(vo) to move (one's residence)
帮忙	bāng máng	(vo) to help
哎	āi	(excl) (exclamatory particle to express surprise or dissatisfaction or to remind)
拉	là	(v) to leave (something) behind inadvertently (colloq.)
张天明	Zhāng Tiānmíng	(pn) Tianming Zhang (a personal name)
柯林	Kē Lín	(pn) Lin Ke (a personal name)