正好	zhènghǎo	(adv) coincidentally
门口	ménkǒu	(n) doorway, entrance
留学生	liúxuéshēng	(n) study-abroad student
菜单	càidān	(n) menu
鸡	jī	(n) chicken
清蒸	qīngzhēng	(v) to steam (food without heavy sauce)
味道	wèidao	(n) taste, flavor (of food)
芥兰	jièlán	(n) Chinese broccoli
嫩	nèn	(adj) tender
香	xiāng	(adj) fragrant, pleasant-smelling
菠菜	bōcài	(n) spinach
叫（菜）	jiào (cài)	(v (o)) to order (food)
新鲜	xīnxian	(adj) fresh
有机	yǒujī	(adj) organic
清淡	qīngdàn	(adj) light in flavor
咸	xián	(adj) salty
油	yóu	(n/adj) oil; oily
餐巾	cānjīn	(n) napkin
筷子	kuàizi	(n) chopsticks
开玩笑	kāi wánxiào	(vo) to crack a joke, to joke
各	gè	(pr) each, every
口味	kǒuwèi	(n) (personal) taste
比方说	bǐfāng shuō	for example
辣	là	(adj) spicy
考虑	kǎolǜ	(v) to consider
主意	zhúyi	(n) idea
微信	Wēixìn	(pn) WeChat
丽莎	Lìshā	(pn) Lisa (a personal name)
林雪梅	Lín Xuěméi	(pn) Xuemei Lin (a personal name)
杭州	Hángzhōu	(pn) Hangzhou
四川	Sìchuān	(pn) Sichuan
湖南	Húnán	(pn) Hunan
广东	Guǎngdōng	(pn) Guangdong