移民	yímín	(n/v) immigrant; to immigrate
博士	bóshì	(n) doctorate (academic title), Dr. (academic title)
设计	shèjì	(v/n) to design; design
嫂子	sǎozi	(n) older brother’s wife
留学	liú xué	(vo) to study abroad
硕士	shuòshì	(n) master's (academic title)
结婚	jié hūn	(vo) to get married, to marry
幸福	xìngfú	(n/adj) happiness; happy
厉害	lìhai	(adj) terrible, formidable
侄女	zhínǚ	(n) brother’s daughter
小学	xiǎoxué	(n) elementary school
安排	ānpái	(v) to arrange
钢琴	gāngqín	(n) piano
画画儿	huà huàr	(vo) to draw, to paint
抱怨	bàoyuàn	(v) to complain
尊重	zūnzhòng	(v) to respect
选择	xuǎnzé	(n/v) choice; to choose
反对	fǎnduì	(v) to oppose
认为	rènwéi	(v) to think, to consider
童年	tóngnián	(n) childhood
看法	kànfǎ	(n) point of view
做法	zuòfǎ	(n) way of doing things, course of action
完全	wánquán	(adv/adj) completely, fully; complete, whole
理解	lǐjiě	(v) to understand
望子成龙	wàng zǐ chéng lóng	to hope that one’s son will become successful (lit. to hope that one’s son will become a dragon)
望女成凤	wàng nǚ chéng fèng	to hope that one’s daughter will become successful (lit. to hope that one’s daughter will become a phoenix)
番	fān	(m) (measure word for type or kind)
事业	shìyè	(n) career, undertaking
社会	shèhuì	(n) society
知识	zhīshi	(n) knowledge
不是…，而是…	búshì . . . , érshì . . .	it’s not . . . but . . . [See Grammar 3.]
墨西哥	Mòxīgē	(pn) Mexico