同屋	tóngwū	(n) roommate
摆	bǎi	(v) to put
被子	bèizi	(n) comforter
毯子	tǎnzi	(n) blanket
衣柜	yīguì	(n) wardrobe
柜子	guìzi	(n) cabinet
挂	guà	(v) to hang
门	mén	(n) door
空	kōng	(adj) empty
空调	kōngtiáo	(n) air conditioning
栋	dòng	(m) (measure word for buildings)
旧	jiù	(adj) old (of things)
恐怕	kǒngpà	(adv) I’m afraid that, I think perhaps, probably
日用品	rìyòngpǐn	(n) daily necessities
文具	wénjù	(n) stationery
洗	xǐ	(v) to wash
层	céng	(m) (measure word for stories of a building)
台	tái	(m) (measure word for machines)
洗衣机	xǐyījī	(n) washing machine
干衣机	gānyījī	(n) clothes dryer
马路	mǎlù	(n) road
一般	yìbān	(adv) generally
真的	zhēn de	(adv) really
着急	zháojí	(v) to worry
餐馆儿	cānguǎnr	(n) restaurant
地道	dìdao	(adj) authentic
过几天	guò jǐ tiān	in a few days