心事	xīnshì	(n) something that weighs on one’s mind
吵架	chǎo jià	(vo) to quarrel
高中	gāozhōng	(n) senior high school
开朗	kāilǎng	(adj) extroverted, open and sunny in disposition
迷	mí	(n/v) fan; to be infatuated with
演唱会	yǎnchànghuì	(n) vocal concert
爱好	àihào	(n/v) hobby, interest; to love (something)
不同	bù tóng	different, not the same
相处	xiāngchǔ	(v) to get along
到底	dàodǐ	(adv) what on earth, what in the world, in the end
发生	fāshēng	(v) to happen, to occur, to take place
背景	bèijǐng	(n) background
提	tí	(v) to mention, to bring up
心	xīn	(n) heart, mind
根本	gēnběn	(adv) at all, simply
一干二净	yì gān èr jìng	completely, thoroughly [See Grammar 5.]
生气	shēng qì	(vo) to get angry
叫	jiào	(v) to make (someone do something)
陪	péi	(v) to accompany
答应	dāying	(v) to agree (to do something), to promise, to answer
电影院	diànyǐngyuàn	(n) movie theater
分手	fēn shǒu	(vo) to break up, to part company
原来	yuánlái	(adv/adj) as a matter of fact; original, former [See Grammar 4.]
马虎	mǎhu	(adj) careless, perfunctory, mediocre
不停	bùtíng	(adv) continuously, incessantly
道歉	dào qiàn	(vo) to apologize
态度	tàidu	(n) attitude
说不定	shuōbudìng	(adv) perhaps, maybe
实际上	shíjìshang	(adv) in fact, in reality, actually
丢三拉四	diū sān là sì	scatterbrained, forgetful [See Grammar 5.]
钥匙	yàoshi	(n) key
交朋友	jiāo péngyou	(vo) to make friends