节日	jiérì	(n) holiday, festival
舅舅	jiùjiu	(n) uncle (mother’s brother)
舅妈	jiùmā	(n) aunt (mother’s brother’s wife)
小区	xiǎoqū	(n) residential development, residential complex
环境	huánjìng	(n) environment, surroundings
除夕	chúxī	(n) Chinese New Year’s Eve
年夜饭	niányèfàn	(n) Chinese New Year’s Eve dinner
墙	qiáng	(n) wall
贴	tiē	(v) to paste, to glue
福	fú	(n) blessing, good fortune
倒	dào	(v) to turn upside down, to go backwards
奇怪	qíguài	(adj) strange, weird
意思	yìsi	(n) meaning
以	yǐ	(prep) with [See Grammar 2.]
代	dài	(v) to replace, to substitute
酒	jiǔ	(n) alcohol, liquor
举	jǔ	(v) to lift, to raise
顺利	shùnlì	(adj) smooth, successful, without a hitch
进步	jìnbù	(v/adj) to make progress; progressive
干杯	gān bēi	(vo) to drink a toast (lit. to dry the cup)
成功	chénggōng	(v/adj) to succeed; successful
晚会	wǎnhuì	(n) evening gathering, soiree
剩（下）	shèng (xia)	(vc) to leave a surplus, to be left (over)
浪费	làngfèi	(v/adj) to waste, to squander; wasteful
余	yú	(n/v) surplus; to have a surplus
传统	chuántǒng	(n/adj) tradition; traditional
农历	nónglì	(n) traditional Chinese lunar calendar (lit. agricultural calendar)
初	chū	first, early part of
粽子	zòngzi	(n) sticky-rice dumpling wrapped in bamboo or reed leaves
月饼	yuèbǐng	(n) moon cake
团圆	tuányuán	(v) to reunite (as a family)
正月	zhēngyuè	(n) first month of the lunar year
元宵	yuánxiāo	(n) night of the fifteenth of the first lunar month, sweet dumplings made of sticky-rice flour
嘛	ma	(p) particle used to emphasize the obvious [See Grammar 3.]
计时	jì shí	(vo) to count time
拜年	bài nián	(vo) to wish somebody a happy Chinese New Year, to pay a Chinese New Year call
恭喜	gōngxǐ	(v) to congratulate
发财	fā cái	(vo) to get rich, to make a fortune
红包	hóngbāo	(n) red envelope containing gift money
热闹	rènao	(adj) lively, buzzing with excitement, bustling with activity (of a place or scene)
鞭炮	biānpào	(n) firecracker
春节	Chūnjié	(pn) Spring Festival, Chinese New Year
端午节	Duānwǔjié	(pn) Dragon Boat Festival
中秋节	Zhōngqiūjié	(pn) Mid-Autumn Festival, Moon Festival
感恩节	Gǎn’ēnjié	(pn) Thanksgiving
元宵节	Yuánxiāojié	(pn) Lantern Festival