节俭	jiéjiǎn	(adj) thrifty, frugal
存款	cúnkuǎn	(n/vo) bank savings; to deposit money at a bank
投资	tóu zī	(vo/n) to invest capital; investment (financial) (lit. to throw or cast capital)
理财	lǐcái	(vo) to manage wealth
涨	zhǎng	(v) to rise, to surge, to go up (of water, prices, etc.)
炒股	chǎo gǔ	(vo) to flip stocks
引起	yǐnqǐ	(v) to give rise to, to lead to
思考	sīkǎo	(v/n) to think deeply, to ponder over; contemplation, cogitation
姑妈	gūmā	(n) aunt (father’s sister)
矛盾	máodùn	(n/adj) contradiction, conflict; contradictory, conflicting
郁闷	yùmèn	(adj) gloomy, depressed
省吃俭用	shěng chī jiǎn yòng	to be frugal (with food and other living expenses)
笔	bǐ	(m) measure word for sums of money
孙子	sūnzi	(n) grandson (son’s son)
孙女	sūnnü	(n) granddaughter (son’s daughter)
未婚妻	wèihūnqī	(n) fiancée
算	suàn	(v) to count as, to be considered as
合	hé	(v) to combine, to join
劝	quàn	(v) to persuade, to advise, to urge
辛苦	xīnkǔ	(adj/v) hard, strenuous; to work hard
享受	xiǎngshòu	(v/n) to enjoy; enjoyment, pleasure
老太太	lǎotàitai	(n) elderly lady
利息	lìxī	(n) interest (on invested funds)
增加	zēngjiā	(v) to increase, to add
老年	lǎonián	(n) old age
说服	shuōfú	(v) to persuade, to convince
签	qiān	(v) to sign, to autograph
合同	hétong	(n) agreement, contract
想法	xiǎngfǎ	(n) idea, opinion
突然	tūrán	(adv/adj) suddenly, unexpectedly; sudden, unexpected
义工	yìgōng	(n) volunteer work (lit. righteous work), volunteer
麻将	májiàng	(n) mahjong
赚钱	zhuànqián	(vo) to make a profit
股市	gǔshì	(n) stock market
风险	fēngxiǎn	(n) risk, danger, hazard
抵押	dǐyā	(v) to mortgage
股票	gǔpiào	(n) stock, share (lit. stock certificate)
跌	diē	(v) to fall
赔	péi	(v) to lose (money, etc.), to suffer a loss in a deal