变化	biànhuà	(v/n) to change; change
末	mò	(n) end
来不及	lái bu jí	(vc) to not have enough time to do something, to be too late to do something
高（速）铁（路）	gāo(sù) tiě(lù)	(n) high-speed rail
表哥	biǎogē	(n) older male cousin with a different surname
街	jiē	(n) street
盖	gài	(v) to build, to construct
骑	qí	(v) to ride
自行车	zìxíngchē	(n) bicycle
上班	shàng bān	(vo) to go to work, to start work, to be on duty
想像	xiǎngxiàng	(v/n) to imagine, to visualize; imagination
要不是	yàobúshì	(conj) if it were not for, but for
游客	yóukè	(n) tourist
老外	lǎowài	(n) foreigner (slang)
哈哈	hā	(ono) sound of laughter
对面	duìmiàn	(n) opposite side
快餐	kuàicān	(n) fast food
服装	fúzhuāng	(n) clothing, apparel
融入	róngrù	(v) to merge into, to meld into
特色	tèsè	(n) distinguishing feature or quality, characteristic
保留	bǎoliú	(v) to remain as before, to retain
建筑	jiànzhù	(n/v) architecture; to build
尝	cháng	(v) to taste
小吃	xiǎochī	(n) small and inexpensive dishes, snacks
不管	bùguǎn	(conj) no matter, regardless of
变	biàn	(v) to change
民以食为天	mín yǐ shí wéi tiān	ordinary people consider food as important as heaven
句	jù	(m) measure word for sentences
从来	cónglái	(adv) from past till present, always, at all times
老百姓	lǎobǎixìng	(n) ordinary people
尽可能	jǐn kěnéng	as much as possible
厦	shà	(n) mansion, tall building
座	zuò	(m) measure word for buildings, mountains, bridges, cities and other large, solid things
声音	shēngyīn	(n) sound, voice
脚步	jiǎobù	(n) footstep
拍	pāi	(v) to take a picture, to shoot a film
咕噜	gūlū	(ono) rumbling sound
法国	Fǎguó	(pn) France
夫子庙	Fūzǐmiào	(pn) Temple of Confucius