文明	wénmíng	(n/adj) civilization; civilized
之	zhī	(p) literary equivalent of 的
文字	wénzì	(n) characters, written form of a language
记载	jìzǎi	(v/n) to put down in writing, to record; record, account
参观	cānguān	(v) to visit, to look around
其中	qízhōng	among which/whom, in which/whom, of which/whom [See Grammar 2.]
部分	bùfen	(n) portion, part
朝代	cháodài	(n) dynasty
伟大	wěidà	(adj) great, outstanding, magnificent
思想	sīxiǎng	(n) thinking, ideology, thoughts
展厅	zhǎntīng	(n) exhibition hall, gallery
皇帝	huángdì	(n) emperor
统一	tǒngyī	(v/adj) to unify, to unite; unified, centralized
贡献	gòngxiàn	(v/n) to contribute, to devote; contribution
修	xiū	(v) to build, to repair
杀	shā	(v) to kill
烧	shāo	(v) to burn, to set fire to, to cook
宫殿	gōngdiàn	(n) palace
坟墓	fénmù	(n) grave, tomb
兵马俑	bīngmǎyǒng	(n) terracotta warriors and horses
发展	fāzhǎn	(v/n) to develop; development
丝绸	sīchóu	(n) silk, silk fabric
关系	guānxì	(n) relation, relationship, connection
进行	jìnxíng	(v) to carry on, to carry out, to conduct
贸易	màoyì	(n/v) trade; to trade
诗	shī	(n) poetry, poem
诗人	shīrén	(n) poet
发达	fādá	(adj) developed, flourishing
技术	jìshù	(n) technology, technique
曾经	céngjīng	(adv) once; at some time in the past
先进	xiānjìn	(adj) advanced
发明	fāmíng	(n/v) invention; to invent
造纸	zào zhǐ	(vo) to make paper
火药	huǒyào	(n) gunpowder (lit. fire chemical)
指南针	zhǐnánzhēn	(n) compass
活字印刷	huózì yìnshuā	(n) moveable-type printing; letterpress printing
领导	lǐngdǎo	(v/n) to lead; leadership, leader (lit. to lead and guide)
革命	gémìng	(n) revolution
建立	jiànlì	(v) to build, to establish
孔子	Kǒngzǐ	(pn) Confucius
秦朝	Qíncháo	(pn) Qin dynasty
秦始皇	Qínshǐhuáng	(pn) First Emperor of the Qin dynasty
汉朝	Hàncháo	(pn) Han dynasty
西方	Xīfāng	(pn) the West
唐朝	Tángcháo	(pn) Tang dynasty
李白	Lǐ Bái	(pn) Li Bai
宋朝	Sòngcháo	(pn) Song dynasty
清朝	Qīngcháo	(pn) Qing dynasty
孙中山	Sūn Zhōngshān	(pn) Sun Yat-sen
中华民国	Zhōnghuá Mínguó	(pn) Republic of China