保护	bǎohù	(v) to protect, to safeguard
节约	jiéyuē	(v) to economize, to save, to conserve
能源	néngyuán	(n) energy, energy source
爬山	pá shān	(vo) to hike in the mountains, to climb a mountain
有益	yǒuyì	(adj) beneficial, useful [See Grammar 4.]
于	yú	(prep) towards, in, on, at, (indicating comparison) [See Grammar 4 and Grammar 5.]
段	duàn	(m) measure word for section, segment, or part
推	tuī	(v) to push, to shove
空气	kōngqì	(n) air, atmosphere
雾霾	wùmái	(n) smog
回收	huíshōu	(v) to recycle
筒	tǒng	(n) thick tube-shaped container
扔	rēng	(v) to throw, to toss, to throw away
瓶装水	píngzhuāng shuǐ	(n) bottled water
地球	dìqiú	(n) the earth, the globe
亮	liàng	(adj) bright, light
太阳	tàiyáng	(n) sun
太阳能	tàiyángnéng	(n) solar energy, solar power
板	bǎn	(n) board, plank, panel
发电	fā diàn	(vo) to generate electricity
国家	guójiā	(n) country, nation
危机	wēijī	(n) crisis
风	fēng	(n) wind
石油	shíyóu	(n) petroleum, oil
煤	méi	(n) coal
规定	guīdìng	(v/n) to regulate, to specify; rules and regulations, provisions
公共场所	gōnggòng chǎngsuǒ	(n) public place or space
暖气	nuǎnqì	(n) heating (lit. warm air)
温度	wēndù	(n) temperature
度	dù	(m) measure word for degrees of temperature, heat, hardness, humidity, etc.
赞成	zànchéng	(v) to approve, to support
出汗	chū hàn	(vo) to sweat
餐具	cānjù	(n) eating utensil, tableware
一次性	yícìxìng	(adj) one-time
砍	kǎn	(v) to cut, to chop
超市	chāoshì	(n) supermarket (short for 超级市场/超級市場)
塑料袋	sùliào dài	(n) plastic bag
减少	jiǎnshǎo	(v) to reduce, to decrease, to lessen
污染	wūrǎn	(v/n) to pollute, to contaminate; pollution, contamination
造成	zào chéng	(vc) to cause, to give rise to
比如	bǐrú	(v) for example
随手	suíshǒu	(adv) without extra effort or motion, conveniently
加油	jiā yóu	(vo) to make an extra effort, to work harder, to refuel
马克	Mǎkè	(pn) Mark
摄氏	Shèshì	(pn) Celsius, centigrade