地理	dìlǐ	(n) geography
家乡	jiāxiāng	(n) hometown, place of family origin
路线	lùxiàn	(n) route, itinerary
了解	liǎojiě	(v) to understand, to know about, to be informed
一下子	yíxiàzi	(adv) in an instant, all of a sudden
冰灯	bīngdēng	(n) ice lantern
火车	huǒchē	(n) train
船	chuán	(n) boat, ship
风景	fēngjǐng	(n) scenic landscape, scenery
河流	héliú	(n) river
大多	dàduō	(adv) mostly, for the most part
流	liú	(v) to flow
部	bù	(n) part, section
高原	gāoyuán	(n) plateau (lit. high field)
山	shān	(n) mountain, hill
而	ér	(conj) (conjunction to connect two clauses) [See Grammar 2.]
平原	píngyuán	(n) plain (lit. flat field)
海	hǎi	(n) sea, ocean
人口	rénkǒu	(n) population
主要	zhǔyào	(adj) main, principal
沙漠	shāmò	(n) desert
自然	zìrán	(n/adj) nature; natural
条件	tiáojiàn	(n) condition
地形	dìxíng	(n) terrain, topography
面积	miànjī	(n) area (of land)
倍	bèi	(m) (measure word for times by which something is multiplied)
过节	guò jié	(vo) to celebrate a holiday
旅游	lǚyóu	(v/n) to travel (for pleasure); (pleasure) travel
景点	jǐngdiǎn	(n) scenic spot, tourist spot
到处	dàochù	(adv) all around, all over
人山人海	rén shān rén hǎi	huge crowds of people (lit. mountains and seas of people)
挤	jǐ	(adj/v) crowded; to push against, to squeeze
短	duǎn	(adj) short
省	shěng	(n) province (administrative division)
四季如春	sìjì rú chūn	spring-like all year round
少数	shǎoshù	(n) few, minority (lit. small number)
民族	mínzú	(n) ethnic group, nationality
南京	Nánjīng	(pn) Nanjing
哈尔滨	Hā’ěrbīn	(pn) Harbin
新疆	Xīnjiāng	(pn) Xinjiang
长江	Chángjiāng	(pn) Yangtze River
黄河	Huánghé	(pn) Yellow River
天津	Tiānjīn	(pn) Tianjin
广州	Guǎngzhōu	(pn) Guangzhou
深圳	Shēnzhèn	(pn) Shenzhen
云南	Yúnnán	(pn) Yunnan