人	person
刀	knife
力	power
又	right hand, again
口	mouth
囗	enclose
土	earth
夕	sunset
大	big
女	female
子	child
寸	inch
小	small
工	labor, work
幺	tiny, small
弓	bow
心	heart
戈	dagger-axe
手	hand
日	sun
一	one
二	two
三	three
四	four
五	five
六	six
七	seven
八	eight
九	nine
十	ten
一百	one hundred
你	you
好	fine, good, nice, OK, it's settled
请	please (polite form of request), to treat or to invite (somebody)
问	to ask (a question)
贵	honorable, expensive
姓	(one's) family name is...; family name
我	I, me
呢	ne (question particle)
小姐	Miss, young lady
叫	to be called, to call
什么	what
名字	name
先生	Mr., husband, teacher
李友	Lǐ Yǒu (a personal name)
李	plum
王朋	Wáng Péng (a personal name)
王	king
是	to be
老师	teacher
吗	(yes/no question particle)
不	not, no
学生	student
也	too, also
人	people, person
中国	China
京北	Beijing
美国	America
纽约	New York
韩国	South Korea
那	that
的	(a possessive or descriptive particle)
照片	picture, photo
这	this
爸爸	father, dad
妈妈	mother, mom
个	(measure word for many common everyday objects)
女	female
孩子	child
谁	who
她	she, her
姐姐	older sister
男	male
弟弟	younger brother
他	he, him
大哥	eldest/oldest brother
儿子	son
有	to have, to exist
女儿	daughter
没	not (for 有)
高文中	Gāo Wénzhōng (a personal name)
高	tall, high
家	family, home
几	how many, some, a few
口	(measure word for number of family members)
哥哥	older brother
两	two, a couple of
妹妹	younger sister
和	and
大姐	eldest/oldest sister
二姐	second oldest sister
做	to do
工作	job; to work
律师	lawyer
英文	the English language
都	both, all
大学生	college student
大学	university, college
医生	doctor, physician
白英爱	Bái Yīng'ài (a personal name)
九月	September
月	month
十二	twelve
号	(measure word for position in a numerical series, day of the month)
星期	week
星期四	Thursday
天	day
生日	birthday
生日	to give birth to, to be born
日	day, sun
今年	this year
年	year
多	how many/much, to what extent
大	big, old
十八	eighteen
岁	year (of age)
吃	to eat
饭	meal, (cooked) rice
怎么样	Is it OK? How is that? How does that sound?
太…了	too, extremely
谢谢	to thank
喜欢	to like
菜	dish, cuisine
还是	or
可是	but
我们	we, us
点	o'clock (lit. dot, point, thus "points on the clock")
半	half, half an hour
晚上	evening, night
见	to see
再见	goodbye, see you again
再	again
英国	Britain
现在	now
刻	quarter (of an hour)
事儿	matter, affair, event
今天	today
很	very
忙	busy
明天	tomorrow
晚饭	dinner, supper
为什么	why
为	for
因为	because
还	also, too, as well
同学	classmate
认识	to be acquainted with, to recognize
朋友	friend
周末	weekend
打球	to play ball
打	to hit
球	ball
看	to watch, to look, to read
电视	television
电	electricity
视	vision
唱歌	to sing (a song)
唱歌儿	to sing (a song)
唱	to sing
歌	song
跳舞	to dance
跳	to jump
舞	dance
听	to listen
音乐	music
书	book
对	right, correct
有的	some
时候	(a point in) time, moment, (a duration of) time
电影	movie
影	shadow
常常	often
那	in that case, then
去	to go
外国	foreign country
请客	to invite a guest
昨天	yesterday
所以	so
小	small, little
好久	a long time
好	very
久	long (of time)
不错	pretty good
错	wrong
想	to want to, would like to
觉得	to feel, to think
有意思	interesting
意思	meaning
只	only
睡觉	to sleep
睡	to sleep
觉	sleep
算了	forget it, never mind
找	to look for
别人	other people, another person
别	other
别的	other
呀	(interjectory particle used to soften a question)
进	to enter
快	fast, quick; quickly
进来	to come in
来	to come
介绍	to introduce
一下	once, a bit
高兴	happy, pleased
漂亮	pretty
坐	to sit
在	at, in, on
哪儿	where
学校	school
喝	to drink
点	a little, a bit, some
点儿	a little, a bit, some
茶	tea
咖啡	coffee
吧	(a suggestive sentence-final particle)
要	to want
瓶	(measure word for bottled liquid, etc.)
可乐	cola
可以	can, may
对不起	sorry
给	to give
杯	(measure word for things contained in a cup or glass)
水	water
高小音	Gāo Xiǎoyīn (a personal name)